user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
63534649,Lautaro_RBL,0.11538461538461539,62.666666666666664,15,1.0,7.5,130,0,0,11,0,1,0.0,0.36363636363636365,1,1
48997988,KASHI_292,0.05555555555555555,62.0,1,1.0,1.0,18,0,0,9,1,1,0.3333333333333333,0.5555555555555556,1,1
3930163,AdriParedes,0.125,20.466666666666665,15,0.0,2.5,120,0,0,11,0,0,0.0,0.18181818181818182,0,0
79548796,dragonmaster98,0.031007751937984496,129.75,4,0.75,2.0,129,0,0,14,1,0,0.14285714285714285,0.0,0,1
31929980,M4rx3l0,0.021739130434782608,18.0,1,0.0,1.0,46,0,0,7,1,0,0.42857142857142855,0.14285714285714285,0,0
32783935,CCHINARD0,0.2857142857142857,5.875,8,0.0,2.6666666666666665,28,0,0,9,1,0,0.1111111111111111,0.8888888888888888,0,0
56114003,david9990a,0.2288135593220339,84.74074074074075,27,1.0,3.857142857142857,118,0,0,10,1,0,0.4,0.0,0,1
30633055,cristobal678,0.07317073170731707,16.444444444444443,9,0.0,2.25,123,0,0,12,1,0,0.25,0.0,0,0
32949132,martinla22,0.09090909090909091,175.0,1,0.0,1.0,11,0,0,10,1,0,0.2,0.0,0,0
14571583,alevidallet,0.00819672131147541,61.0,1,1.0,1.0,122,0,0,11,0,0,0.0,0.0,0,1
33925160,RodriFago,0.041666666666666664,18.0,1,0.0,1.0,24,0,0,9,0,0,0.0,0.2222222222222222,0,0
40160956,fergv07,0.08759124087591241,52.75,12,0.75,4.0,137,0,0,7,1,0,0.2857142857142857,0.0,0,1
68092086,Aegon_FCB,0.125,18.0,2,0.0,2.0,16,0,0,9,0,1,0.0,0.4444444444444444,1,0
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
81576299,bardera_67,0.2275449101796407,44.63157894736842,38,0.9736842105263158,2.7142857142857144,167,0,0,10,1,1,0.2,0.0,1,1
40160956,fergv07,0.08759124087591241,52.75,12,0.75,4.0,137,0,0,7,1,0,0.2857142857142857,0.0,0,1
33614473,sebasio30,0.004291845493562232,25.0,1,0.0,1.0,233,0,0,9,1,0,0.2222222222222222,0.0,0,0
79556433,sofiimonserrat,0.29508196721311475,17.0,18,0.0,18.0,61,0,0,14,0,0,0.0,0.0,0,0
34293604,OkinLoco,0.2702702702702703,13.9,30,0.0,1.2,111,0,0,8,0,0,0.0,0.25,0,0
64764396,benjiespin,0.7647058823529411,53.23076923076923,13,1.0,6.5,17,0,0,10,0,0,0.0,0.0,0,1
56338145,sofiii11pp,0.5652173913043478,38.02564102564103,39,1.0,19.5,69,0,0,10,1,0,0.2,0.0,0,1
69958285,pro33ades,0.005988023952095809,18.0,1,0.0,1.0,167,0,0,9,1,0,0.2222222222222222,0.0,0,0
66124239,MadridistaHalaMadrid7,0.013986013986013986,62.0,2,0.0,1.0,143,0,0,21,1,0,0.047619047619047616,0.14285714285714285,0,0
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
44862873,jjerooJR,0.125,172.125,8,0.0,1.0,64,0,0,8,0,0,0.0,0.25,0,0
30440309,betinho96,0.0196078431372549,18.0,1,0.0,1.0,51,0,0,9,1,0,0.2222222222222222,0.0,0,0
83610897,nico7707,0.017543859649122806,46.0,3,0.0,1.0,171,0,0,8,1,0,0.5,0.0,0,0
80626074,ambs2084,0.03333333333333333,53.0,3,1.0,3.0,90,0,0,8,1,0,0.5,0.0,0,1
